Pos.;Giocatore;Nazione;Punti;+/- pos.;+/- punti
354;Antoine Escoffier;FRA;58;1;0
355;Jared Hiltzik;USA;58;1;0
356;Franko Skugor;CRO;57;1;0
357;Makoto Ochi;JPN;57;1;0
358;Zhizhen Zhang;CHN;56;2;0
359;Hugo Grenier;FRA;56;-18;-10
360;Jose Statham;NZL;56;13;8
361;Sumit Nagal;IND;55;-21;-12
362;Ryan Shane;USA;54;-1;0
363;Zsombor Piros;HUN;54;-25;-13
364;Luke Saville;AUS;54;-2;0
365;Gonzalo Escobar;ECU;53;-2;0
366;Jeff Wolf;USA;53;-2;0
367;Tung-Lin Wu;TPE;53;-2;0
368;Marc-Andrea Huesler;SUI;53;3;5
369;Ji Sung Nam;KOR;51;-3;0
370;Andrea Basso;ITA;51;-3;0
371;Teimuraz Gabashvili;RUS;50;-3;0
372;Emilio Gomez;ECU;49;-3;0
373;Daniel Altmaier;GER;48;-3;0
374;Jan Satral;CZE;48;-2;0
375;Andrew Whittington;AUS;47;-1;0
376;Benjamin Hassan;LIB;47;-1;0
377;Harri Heliovaara;FIN;46;-1;0
378;Pedro Sakamoto;BRA;45;-1;0
379;Petros Chrysochos;CYP;44;-1;0
380;Jeremy Jahn;GER;43;-1;0
381;Daniel Munoz-De La Nava;ESP;43;0;0
382;Alessandro Bega;ITA;42;0;0
383;Oriol Roca Batalla;ESP;41;0;0
384;Viktor Durasovic;NOR;41;0;0
385;Emil Ruusuvuori;FIN;41;0;0
386;Khumoun Sultanov;UZB;41;0;0
387;Johannes Haerteis;GER;40;0;0
388;Guillermo Olaso;ESP;40;0;0
389;Yan Bai;CHN;39;0;0
390;Alexis Galarneau;CAN;39;0;0
391;Tom Jomby;FRA;39;3;3
392;Andreas Haider-Maurer;AUT;38;-1;0
393;Arjun Kadhe;IND;37;-1;0
394;Illya Marchenko;UKR;36;-1;0
395;Julian Lenz;GER;35;0;0
396;Shuichi Sekiguchi;JPN;35;0;0
397;Ivan Gakhov;RUS;35;0;0
398;Joao Menezes;BRA;35;0;0
399;Sekou Bangoura;USA;33;0;0
400;N.Sriram Balaji;IND;31;1;0
401;Joao Monteiro;POR;31;1;0
402;Sadio Doumbia;FRA;31;19;5
403;Chien-Hsun Lo;TPE;30;0;0
404;Alexander Ward;GBR;30;0;0
405;Joao Souza;BRA;30;-5;-3
406;Liam Caruana;ITA;30;-26;-13
407;Youssef Hossam;EGY;29;-1;0
408;Brydan Klein;GBR;29;-1;0
409;Rigele Te;CHN;29;-1;0
410;Ivan Nedelko;RUS;29;-1;0
411;Jacob Grills;AUS;28;0;0
412;Tim Van Rijthoven;NED;28;0;0
413;Jordi Samper-Montana;ESP;28;0;0
