Pos.;Giocatore;Nazione;Punti;+/- pos.;+/- punti
422;Ricardo Ojeda Lara;ESP;29;12;5
423;Jeremy Jahn;GER;28;14;5
424;Julian Ocleppo;ITA;28;-5;0
425;Bradley Mousley;AUS;28;-5;0
426;Hugo Grenier;FRA;28;-4;0
427;Francesco Forti;ITA;28;-4;0
428;Antoine Escoffier;FRA;28;-4;0
429;Chun Hsin Tseng;TPE;27;-3;0
430;Tim Van Rijthoven;NED;27;-3;0
431;Gerard Granollers;ESP;26;14;5
432;Zizou Bergs;BEL;26;-4;0
433;Matteo Martineau;FRA;26;8;3
434;Tobias Simon;GER;26;-5;0
435;Hugo Gaston;FRA;25;-5;0
436;Sanjar Fayziev;UZB;24;11;3
437;Yannick Mertens;BEL;24;-4;0
438;Marvin Netuschil;GER;23;-3;0
439;Albano Olivetti;FRA;23;-3;0
440;Daniel Nguyen;USA;23;-2;0
441;Orlando Luz;BRA;23;-2;0
442;Bastian Malla;CHI;22;4;1
443;Altug Celikbilek;TUR;22;33;7
444;Markus Eriksson;SWE;22;-2;0
445;Skander Mansouri;TUN;22;-2;0
446;Alexander Zhurbin;RUS;22;14;3
447;Enrico Dalla Valle;ITA;22;-3;0
448;Botic Van De Zandschulp;NED;21;14;3
449;Harrison Adams;USA;21;-1;0
450;Yuki Bhambri;IND;20;-59;-20
451;Raymond Sarmiento;USA;20;-2;0
452;William Blumberg;USA;20;-2;0
453;Alexander Ward;GBR;20;-2;0
454;Alafia Ayeni;USA;20;-2;0
455;Alexander Ritschard;SUI;20;-2;0
456;Peter Heller;GER;20;-2;0
457;Fabrizio Ornago;ITA;20;-2;0
458;Camilo Ugo Carabelli;ARG;19;-2;0
459;Takanyi Garanganga;ZIM;19;-1;0
460;Lorenzo Musetti;ITA;19;-3;0
461;Joao Monteiro;POR;18;0;0
462;Luca Giacomini;ITA;17;1;0
463;Konstantin Kravchuk;RUS;17;-4;-2
464;Fabien Reboul;FRA;17;1;0
465;Harri Heliovaara;FIN;16;-25;-7
466;Ronnie Schneider;USA;16;2;0
467;Yuta Shimizu;JPN;16;0;0
468;Louis Wessels;GER;16;1;0
469;Sidharth Rawat;IND;16;21;3
470;Jordi Samper-Montana;ESP;16;0;0
471;Lloyd Glasspool;GBR;16;1;0
472;Paul Jubb;GBR;15;108;10
473;Michael Vrbensky;CZE;15;0;0
474;Tomas Machac;CZE;15;1;0
475;Jiri Lehecka;CZE;15;-1;0
476;Francisco Cerundolo;ARG;15;1;0
477;Lukas Klein;SVK;15;46;5
478;Lucas Gerch;GER;15;44;5
479;Tom Fawcett;USA;15;-1;0
480;Marco Bortolotti;ITA;15;22;3
481;Riccardo Bellotti;ITA;14;-2;0
482;Yannick Jankovits;FRA;14;-1;0
